geoid10,nearest_greenway_loop_contiguous_dist,nearest_greenway_loop_contiguous_score,los_closest_park_dist,los_dist_score,los_acre_score,los_exp_score,los_3_factor_total_score,los_3_factor_grade,los_total_score,los_total_grade,la_closest_park_dist,la_dist_score,la_acre_score,la_exp_score,la_3_factor_total_score,la_3_factor_grade,la_total_score,la_total_grade,la_los_closest_park_diff,la_los_closest_park_diff_pct,la_los_dist_score_diff,la_los_acre_score_diff,la_los_exp_score_diff,la_los_3_factor_total_score_diff,la_los_total_score_diff,pop_2018,popdensity_2018,pop_pct,tothh_2018,hh_pct,low_income,low_income_pct_tot_pop,low_income_pct_low_income,middle_income,middle_income_pct_tot_pop,middle_income_pct_middle_income,high_income,high_income_pct_tot_pop,high_income_pct_high_income,los_income_low_a,los_income_low_b,los_income_low_c,los_income_low_d,los_income_low_f,los_income_middle_a,los_income_middle_b,los_income_middle_c,los_income_middle_d,los_income_middle_f,los_income_high_a,los_income_high_b,los_income_high_c,los_income_high_d,los_income_high_f,la_income_low_a,la_income_low_b,la_income_low_c,la_income_low_d,la_income_low_f,la_income_middle_a,la_income_middle_b,la_income_middle_c,la_income_middle_d,la_income_middle_f,la_income_high_a,la_income_high_b,la_income_high_c,la_income_high_d,la_income_high_f,race_white_pop_2018,race_white_pct_totpop,race_white_pct_white_pop,race_black_pop_2018,race_black_pct_totpop,race_black_pct_black_pop,hisp_pop_2018,hisp_pct_totpop,hisp_pct_hisp,hisp_no_bw_pop_2018,hisp_no_bw_pct_totpop,hisp_no_bw_pct_hisp_no_bw_pop,minority_pop_2018,minority_pct_totpop,minority_pct_minority_pop,los_white_a,los_white_b,los_white_c,los_d_white_d,los_white_f,los_black_a,los_black_b,los_black_c,los_black_d,los_black_f,los_hisp_a,los_hisp_b,los_hisp_c,los_hisp_d,los_hisp_f,los_hisp_no_bw_a,los_hisp_no_bw_b,los_hisp_no_bw_c,los_hisp_no_bw_d,los_hisp_no_bw_f,los_minority_a,los_minority_b,los_minority_c,los_minority_d,los_minority_f,la_white_a,la_white_b,la_white_c,la_white_d,la_white_f,la_black_a,la_black_b,la_black_c,la_black_d,la_black_f,la_hisp_a,la_hisp_b,la_hisp_c,la_hisp_d,la_hisp_f,la_hisp_no_bw_a,la_hisp_no_bw_b,la_hisp_no_bw_c,la_hisp_no_bw_d,la_hisp_no_bw_f,la_minority_a,la_minority_b,la_minority_c,la_minority_d,la_minority_f,cac,council_dist,council_person,beltline,sqmi
371830501001010,5503.815567390429,3,0.584438017483718,4,5,5,14,A,17,A,0.332475001103487,5,5,5,15,A,18,A,0.251963016380231,43.112016816608,1,0,0,1,1,5,556.40699907458,0.000999168691648548,3,0.00148887069158044,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.000599501214989129,0.00105684412253755,2,0.000399667476659419,0.0014138872000791802,0,0.0,0.0,0,0.0,0.0,2,0.000399667476659419,0.000838669367182029,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,North Central,D,Kay Crowder,Inside,0.008986227722361559
371830501001011,6277.96745334684,3,0.421503462424144,4,5,5,14,A,17,A,0.030979635921242997,5,5,5,15,A,18,A,0.390523826502901,92.6502060640087,1,0,0,1,1,3,572.703293186783,0.000599501214989129,2,0.000992580461053624,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000399667476659419,0.000704562748358369,1,0.00019983373832971002,0.000706943600039589,0,0.0,0.0,0,0.0,0.0,1,0.00019983373832971002,0.000419334683591015,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,North Central,D,Kay Crowder,Inside,0.00523831456129164
371830501001012,6207.57053962066,3,0.4455209455905829,4,5,5,14,A,17,A,0.10657385216278299,5,5,5,15,A,18,A,0.3389470934278,76.0788234049224,1,0,0,1,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Central,D,Kay Crowder,Inside,0.0021104538271865397
371830501001013,7128.776359345799,3,0.7892888064023941,3,5,5,13,A,16,B,0.34778533225456393,5,5,5,15,A,18,A,0.44150347414783003,55.93687260816711,2,0,0,2,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Central,D,Kay Crowder,Inside,0.00471309694272862
371830501001014,4839.846394939051,4,0.458686323119932,4,5,5,14,A,18,A,0.458686323119932,4,5,5,14,A,18,A,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Central,C,Corey Branch,Inside,0.00110999337377533
371830501001015,6495.17915650968,3,0.669289613196292,4,5,5,14,A,17,A,0.22778613904846198,5,5,5,15,A,18,A,0.44150347414783003,65.9659832519086,1,0,0,1,1,44,8497.57989022675,0.008792684486507229,2,0.000992580461053624,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.00459617598158332,0.00810247160612124,19,0.0037968410282644798,0.0134319284007522,2,0.000399667476659419,0.00335553579517809,1,0.00019983373832971002,0.0028957808473054803,22,0.00439634224325361,0.00922536303900232,23,0,0,0,0,19,0,0,0,0,2,0,0,0,0,1,0,0,0,0,22,0,0,0,0,23,0,0,0,0,19,0,0,0,0,2,0,0,0,0,1,0,0,0,0,22,0,0,0,0,North Central,C,Corey Branch,Inside,0.00517794484646215
371830501001016,4130.273790567129,4,0.494748997272826,4,5,5,14,A,18,A,0.494748997272826,4,5,5,14,A,18,A,0.0,0.0,0,0,0,0,0,1,104.977454105613,0.00019983373832971002,1,0.000496290230526812,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00019983373832971002,0.00035228137417918397,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Central,C,Corey Branch,Inside,0.00952585494209016
371830501001017,4142.5260365512295,4,0.31976933196905294,5,5,5,15,A,19,A,0.31976933196905294,5,5,5,15,A,19,A,0.0,0.0,0,0,0,0,0,60,6275.45503625537,0.0119900242997826,58,0.0287848333705551,15,0.00299750607494565,0.0280258585254662,23,0.00459617598158332,0.0254059427813984,20,0.00399667476659419,0.0353481795687522,15,0,0,0,0,23,0,0,0,0,20,0,0,0,0,15,0,0,0,0,23,0,0,0,0,20,0,0,0,0,31,0.006194845888220999,0.0109207225995547,25,0.00499584345824274,0.0176735900009897,3,0.000599501214989129,0.00503330369276714,2,0.000399667476659419,0.00579156169461095,30,0.00599501214989129,0.0125800405077304,31,0,0,0,0,25,0,0,0,0,3,0,0,0,0,2,0,0,0,0,30,0,0,0,0,31,0,0,0,0,25,0,0,0,0,3,0,0,0,0,2,0,0,0,0,30,0,0,0,0,North Central,C,Corey Branch,Inside,0.009561059660751329
371830501001018,3654.65424770639,4,0.221269399600248,5,5,5,15,A,19,A,0.221269399600248,5,5,5,15,A,19,A,0.0,0.0,0,0,0,0,0,63,7616.76608589861,0.0125895255147717,30,0.0148887069158044,8,0.0015986699066376801,0.0149471245469153,12,0.00239800485995652,0.0132552744946427,11,0.0021981711216268103,0.0194414987628137,8,0,0,0,0,12,0,0,0,0,11,0,0,0,0,8,0,0,0,0,12,0,0,0,0,11,0,0,0,0,33,0.00659451336488042,0.0116252853479131,27,0.00539551093490216,0.0190874772010689,3,0.000599501214989129,0.00503330369276714,2,0.000399667476659419,0.00579156169461095,31,0.006194845888220999,0.0129993751913214,33,0,0,0,0,27,0,0,0,0,3,0,0,0,0,2,0,0,0,0,31,0,0,0,0,33,0,0,0,0,27,0,0,0,0,3,0,0,0,0,2,0,0,0,0,31,0,0,0,0,North Central,C,Corey Branch,Inside,0.00827122682901288
371830501001019,3168.8636809428804,4,0.217412522061335,5,5,5,15,A,19,A,0.217412522061335,5,5,5,15,A,19,A,0.0,0.0,0,0,0,0,0,35,7525.65738130871,0.0069941808415398396,26,0.0129035459936971,7,0.0013988361683079699,0.0130787339785509,10,0.0019983373832971,0.0110460620788689,8,0.0015986699066376801,0.0141392718275009,7,0,0,0,0,10,0,0,0,0,8,0,0,0,0,7,0,0,0,0,10,0,0,0,0,8,0,0,0,0,18,0.0035970072899347704,0.00634106473522532,15,0.00299750607494565,0.0106041540005938,2,0.000399667476659419,0.00335553579517809,1,0.00019983373832971002,0.0028957808473054803,17,0.00339717355160506,0.00712868962104725,18,0,0,0,0,15,0,0,0,0,2,0,0,0,0,1,0,0,0,0,17,0,0,0,0,18,0,0,0,0,15,0,0,0,0,2,0,0,0,0,1,0,0,0,0,17,0,0,0,0,North Central,C,Corey Branch,Inside,0.00465075650227296
